M00261;K02320,K02321,K02684,K02685
M00866;K00677,K00748,K00912,K02517,K02527,K02535,K02536,K03269,K09778;K00677,K00748,K00912,K02517,K02527,K02536,K03269,K09778,K16363
M00161;K02703,K02704,K02705,K02706,K02707,K02708
M00012;K00024,K01637,K01638,K01647,K01681;K00024,K01637,K01638,K01647,K01682;K00024,K01637,K01647,K01681,K19282;K00024,K01637,K01647,K01682,K19282;K00025,K01637,K01638,K01647,K01681;K00025,K01637,K01638,K01647,K01682;K00025,K01637,K01647,K01681,K19282;K00025,K01637,K01647,K01682,K19282;K00026,K01637,K01638,K01647,K01681;K00026,K01637,K01638,K01647,K01682;K00026,K01637,K01647,K01681,K19282;K00026,K01637,K01647,K01682,K19282
M00730;K19077,K19078,K19079,K19080
M00529;K00368,K00376,K02567,K02568,K15877;K00376,K02567,K02568,K15864,K15877;K00368,K00370,K00371,K00374,K00376,K15877;K00368,K00376,K02305,K02567,K02568,K04561;K00370,K00371,K00374,K00376,K15864,K15877;K00376,K02305,K02567,K02568,K04561,K15864;K00368,K00370,K00371,K00374,K00376,K02305,K04561;K00370,K00371,K00374,K00376,K02305,K04561,K15864
M00179;K02863,K02864,K02866,K02867,K02869,K02871,K02874,K02876,K02877,K02881,K02883,K02885,K02886,K02889,K02890,K02892,K02895,K02896,K02904,K02906,K02907,K02908,K02910,K02912,K02921,K02922,K02924,K02927,K02929,K02930,K02931,K02933,K02936,K02946,K02948,K02950,K02952,K02954,K02956,K02961,K02962,K02965,K02966,K02967,K02974,K02977,K02978,K02979,K02982,K02984,K02986,K02987,K02988,K02991,K02992,K02994,K02995,K02996
M00015;K00286,K12657;K00147,K00286,K00931
M00091;K00551;K00570;K00550,K16369
M00744;K07637,K07660,K08477
M00367;K00787,K00804,K01823
